,PREDICT
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,0
848,1
849,1
850,0
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,0
873,1
874,1
875,1
876,1
877,1
878,1
879,0
880,0
881,1
882,1
883,0
884,1
885,1
886,1
887,1
888,1
889,0
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,1
904,1
905,1
906,1
907,1
908,1
909,0
910,0
911,0
912,1
913,0
914,1
915,1
916,1
917,1
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,1
930,1
931,0
932,0
933,1
934,0
935,1
936,1
937,0
938,1
939,1
940,0
941,1
942,1
943,0
944,0
945,0
946,1
947,1
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,1
958,0
959,1
960,1
961,1
962,1
963,0
964,0
965,0
966,0
967,0
968,0
969,1
970,1
971,1
972,0
973,0
974,1
975,0
976,1
977,1
978,1
979,1
980,0
981,1
982,1
983,1
984,0
985,0
986,0
987,1
988,1
989,0
990,0
991,1
992,0
993,1
994,0
995,1
996,0
997,0
998,1
999,0
1000,0
1001,1
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,0
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,0
1046,0
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,0
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,1
1073,0
1074,0
1075,1
1076,1
1077,1
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,0
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,1
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,1
1104,1
1105,0
1106,0
1107,1
1108,0
1109,1
1110,0
1111,1
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,1
1122,0
1123,1
1124,0
1125,1
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,1
1133,1
1134,0
1135,1
1136,0
1137,0
1138,1
1139,0
1140,1
1141,0
1142,1
1143,0
1144,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,1
1151,0
1152,0
1153,1
1154,0
1155,1
1156,1
1157,0
1158,1
1159,0
1160,1
1161,0
1162,0
1163,0
1164,0
1165,1
1166,1
1167,0
1168,0
1169,0
1170,0
1171,0
1172,1
1173,0
1174,1
1175,0
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,0
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,1
1195,1
1196,0
1197,1
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,1
1206,1
1207,1
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,0
1215,1
1216,0
1217,0
1218,1
1219,0
1220,1
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,1
1228,1
1229,0
1230,1
1231,0
1232,0
1233,1
1234,1
1235,0
1236,1
1237,1
1238,0
1239,0
1240,0
1241,0
1242,1
1243,1
1244,0
1245,1
1246,0
1247,0
1248,1
1249,1
